window_start	window_end	avg_conn_duration	number_of_conn	d_number_of_conn	sum_orig_kbytes	sum_resp_kbytes
2018-04-13 23:10:00	2018-04-14 00:10:00	1.0916130054233204	16595	None	484293.804	458694.542
2018-04-13 23:20:00	2018-04-14 00:20:00	1.023198779800825	29823	13228	2352139.701	792597.872
2018-04-13 23:30:00	2018-04-14 00:30:00	1.0282521618894207	42214	12391	3441880.182	1138757.463
2018-04-13 23:40:00	2018-04-14 00:40:00	1.1118749521916618	55848	13634	3597720.209	1538558.911
2018-04-13 23:50:00	2018-04-14 00:50:00	0.753970254867153	103089	47241	3608747.597	1888969.242
2018-04-14 00:00:00	2018-04-14 01:00:00	0.9119469353259375	116832	13743	3612003.592	2233697.286
2018-04-14 00:10:00	2018-04-14 01:10:00	0.880562648919198	114082	-2750	3130504.652	2195755.327
2018-04-14 00:20:00	2018-04-14 01:20:00	1.030720200450078	115091	1009	3862441.6	2299320.965
2018-04-14 00:30:00	2018-04-14 01:30:00	1.0051275496368872	115942	851	3159371.336	2343009.617
2018-04-14 00:40:00	2018-04-14 01:40:00	0.9398643464126896	117386	1444	3005934.068	2422639.515
2018-04-14 00:50:00	2018-04-14 01:50:00	1.2852882675150539	87853	-29533	3531003.531	2460314.614
2018-04-14 01:00:00	2018-04-14 02:00:00	1.1258105386399404	87099	-754	3530672.253	2587570.778
2018-04-14 01:10:00	2018-04-14 02:10:00	1.1494154325127401	86157	-942	3530257.948	2539655.142
2018-04-14 01:20:00	2018-04-14 02:20:00	1.055459131165152	84710	-1447	945306.183	2431800.662
2018-04-14 01:30:00	2018-04-14 02:30:00	1.1100236238824046	84221	-489	2906417.078	2473387.277
2018-04-14 01:40:00	2018-04-14 02:40:00	1.1181410008822124	83880	-341	2906783.085	2443786.915
2018-04-14 01:50:00	2018-04-14 02:50:00	1.1094529834586642	81251	-2629	2374684.274	2441646.433
2018-04-14 02:00:00	2018-04-14 03:00:00	1.0817934322738254	83498	2247	2374350.073	2459322.538
2018-04-14 02:10:00	2018-04-14 03:10:00	1.1256672973412387	83648	150	2374310.97	2449651.888
2018-04-14 02:20:00	2018-04-14 03:20:00	1.0233128128348465	86047	2399	2362420.045	2478698.618
2018-04-14 02:30:00	2018-04-14 03:30:00	1.1528692241960439	86634	587	17898.657	2412377.085
2018-04-14 02:40:00	2018-04-14 03:40:00	1.238763697182853	85725	-909	18075.497	2315692.421
2018-04-14 02:50:00	2018-04-14 03:50:00	1.2916164372077292	85751	26	18459.885	2404508.088
2018-04-14 03:00:00	2018-04-14 04:00:00	1.2949823879662208	85260	-491	18653.851	2365806.785
2018-04-14 03:10:00	2018-04-14 04:10:00	1.2768320478293762	88523	3263	20321.703	2486377.51
2018-04-14 03:20:00	2018-04-14 04:20:00	1.3171282724326627	89178	655	21170.484	2475312.154
2018-04-14 03:30:00	2018-04-14 04:30:00	1.2553641481464946	89614	436	24688.198	2469459.284
2018-04-14 03:40:00	2018-04-14 04:40:00	1.2746010888805421	90526	912	25517.781	2487206.185
2018-04-14 03:50:00	2018-04-14 04:50:00	1.2869981962183374	89696	-830	27545.342	2393740.148
2018-04-14 04:00:00	2018-04-14 05:00:00	1.3276269083391607	88642	-1054	30629.277	2341655.371
2018-04-14 04:10:00	2018-04-14 05:10:00	1.3588269828611554	88279	-363	46054.16	2341594.024
2018-04-14 04:20:00	2018-04-14 05:20:00	1.384732332722293	88374	95	1854755.654	2501302.177
2018-04-14 04:30:00	2018-04-14 05:30:00	1.4161249024707554	89163	789	4965697.302	2483092.242
2018-04-14 04:40:00	2018-04-14 05:40:00	1.545453655977528	89000	-163	9019866.069	2455325.274
2018-04-14 04:50:00	2018-04-14 05:50:00	1.522314383970087	92265	3265	11457451.676	2449395.532
2018-04-14 05:00:00	2018-04-14 06:00:00	1.5664581971493619	92260	-5	11454946.141	2426957.88
2018-04-14 05:10:00	2018-04-14 06:10:00	1.5689140075717314	92185	-75	11439337.948	2313232.219
2018-04-14 05:20:00	2018-04-14 06:20:00	1.5149197862134136	91016	-1169	9629412.163	2301324.478
2018-04-14 05:30:00	2018-04-14 06:30:00	1.4319526304074377	91425	409	6515024.812	2356120.606
2018-04-14 05:40:00	2018-04-14 06:40:00	1.2932310445750008	92765	1340	2537872.594	2539662.895
2018-04-14 05:50:00	2018-04-14 06:50:00	0.9269402086676275	132493	39728	3904171.867	2542238.778
2018-04-14 06:00:00	2018-04-14 07:00:00	0.9101132548445418	133862	1369	5867265.243	2561023.892
2018-04-14 06:10:00	2018-04-14 07:10:00	0.9072189122764588	132302	-1560	10511788.642	2552760.088
